source,target,category,notes,example_source,example_wrong,example_correct
ドクドク,"울컥울컥, 꿀렁꿀렁, 욱신욱신",의성어,"액체가 강한 압력으로 쏟아져 나오거나 맥박이 뛰는 모양을 나타낸다. 소설적 문맥에서는 정액이 분출되는 생생한 느낌을 살리기 위해 '울컥울컥'이나 '꿀렁꿀렁'과 같이 액체의 움직임을 묘사하는 표현을 사용하거나, 맥박의 느낌을 살려 '욱신욱신' 등으로 의역하는 것이 자연스럽다. 단순히 소리나 움직임을 나열하기보다 문장의 흐름에 맞춰 조사와 동사를 적절히 조합해야 한다.",母さんはチンチンを離すことなく舐め続けた。その結果、俺は母さんの口の中に射精してしまった。ドクドクと脈打ちながら注いでいく度に、母さんが苦しそうにしながらも精液を受け止める。,"도쿠도쿠와 맥박치며 부어넣을 때마다, 엄마가 괴로운 듯하면서도 정액을 받아낸다.","울컥울컥 맥동하며 쏟아낼 때마다, 엄마는 괴로운 듯하면서도 정액을 받아냈다."
バキバキ,"빳빳하게, 터질 듯이, 딱딱하게",의성어,"본래 딱딱한 물체가 부러질 듯이 굳은 상태를 뜻하지만, 성적인 문맥에서는 발기 상태가 매우 강하고 단단함을 나타낸다. '바키바키'를 그대로 음차하기보다는 '빳빳하게 발기했다' 혹은 '터질 듯이 부풀어 올랐다'와 같이 상태를 묘사하는 형용사나 부사로 의역하여 문장의 관능적인 분위기를 살려야 한다.",お互いの体を密着させ、再びキスをした。これでもかと言わんばかりに舌を絡め合う。母さんも嫌がる素振りはない。この時、俺のチンチンはバキバキに勃起していた。母さんもチンチンを触って確認する。,"이때, 내 자지는 바키바키하게 발기해 있었다.","이때, 내 자지는 터질 듯이 빳빳하게 발기해 있었다."
ガタガタ,"덜덜, 달달, 덜컹덜컹",의성어,"바람이나 진동으로 인해 물체가 심하게 흔들리거나 부딪히는 소리를 나타낸다. 문맥상 폭풍우로 인해 집 전체가 흔들리는 위태로운 상황이므로, 단순히 소리만 묘사하기보다 '덜덜 떨리다', '덜컹거린다'와 같이 집의 상태를 나타내는 동사적 표현과 결합하여 문학적으로 의역하는 것이 자연스럽다.",夜、雨戸を締めた部屋のベッドで横になった。暴風が家に吹き付ける度にヒューッと音がして、ガタガタと揺れる。家ができてから三十年以上が経っていると聞いたので、いつ崩壊してもおかしくない。,폭풍이 불 때마다 가타가타 소리가 나며 흔들린다.,폭풍이 집을 몰아칠 때마다 휘파람 같은 소리가 나며 집이 덜덜 흔들렸다.
ズリズリ,"질척질척, 꾸욱꾸욱, 미끄러지듯",의성어,"성적인 맥락에서 신체 부위가 마찰하거나 삽입되는 움직임을 나타낸다. 단순히 '즈리즈리'라고 음차하기보다는, 문맥상 항문 주위나 내부를 자극하는 움직임의 질감에 따라 '질척질척하게 문지르다', '꾸욱꾸욱 밀어 넣다', 혹은 '미끄러지듯 문지르다'와 같이 동작의 느낌을 살려 의역해야 소설적 몰입감이 높아진다.",ズキッンとチンポに芯が入りだすと、扱きを再開し、唇で亀頭をじゅぽじゅぽ刺激し、肛門もズリズリすると、,"항문도 즈리즈리하자,","항문 주위도 질척하게 문지르자,"
ビクンビクン,"파르르, 움찔움찔",의성어,"근육이나 신체 부위가 강한 자극이나 기대감으로 인해 불규칙하고 강하게 경련하며 떨리는 모양을 나타낸다. 소설적 문맥에서는 '움찔거리는', '파르르 떨리는' 등 동작의 역동성을 살려 의역하는 것이 자연스럽다. 단순히 '비쿤비쿤'을 소리 나는 대로 옮기지 말고, 신체의 반응을 묘사하는 형용사나 부사로 처리해야 한다.",期待にビクンビクンする肉棒に、亀頭から、とろ～りたっぷりのローションを垂らす。薄いラバー手袋もたっぷり濡らす。祭りの始まりよ。,"기대에 비쿤비쿤하는 육봉에, 귀두로부터 토로~리 듬뿍 로션을 떨어뜨린다.","기대로 움찔거리는 육봉의 귀두 부분에, 걸쭉한 로션을 듬뿍 떨어뜨린다."
ギリギリ,"아슬아슬하게, 간신히, 겨우",의성어,"시간이나 상황이 한계치에 다다랐음을 나타낸다. 문맥상 '교육(훈육)을 받는 시간이 아슬아슬하게 남았다'는 의미이므로, 소설적 흐름에 따라 '아슬아슬하게', '간신히' 등으로 자연스럽게 의역해야 한다. 단순히 '기리기리'라고 음차하거나 '한계'라고 딱딱하게 번역하는 것을 피해야 한다.",友紀君の両親は、共働きだから、本日の５時前がリミットね。１時間かあ、ギリギリ躾られそうね、ふふふ楽しみ。にゃりと美由紀が意地悪に嗤う。,"1시간인가, 기리기리 훈육받을 수 있겠네, 후후후 기대돼.","1시간이라, 아슬아슬하게 훈육받을 수 있겠는걸, 후후후 기대돼."
グイグイ,"꾹꾹, 힘차게, 거칠게",의성어,"무언가를 강한 힘으로 밀어붙이거나 압박하는 모양을 나타낸다. 문맥상 성적인 행위의 강도를 나타내므로, 단순히 '꾹꾹'이라는 반복적인 표현보다는 '힘차게 밀어붙이며' 혹은 '거칠게 몰아붙이며'와 같이 동작의 역동성과 압박감이 느껴지도록 소설적으로 의역하는 것이 자연스럽다.",とどめと、グイグイチンポを扱きバイブを抉る。,"마무리로, 구이구이 성기를 훑으며 바이브를 파낸다.","마무리로, 성기를 힘차게 훑으며 바이브를 거칠게 몰아붙였다."
グショグショ,"흠뻑, 축축하게",의성어,"액체가 과하게 젖어 있는 상태를 나타내는 표현이다. 소설 문맥에서는 단순히 '젖었다'는 사실을 넘어, 액체가 넘쳐흐르거나 속옷이 감당할 수 없을 정도로 젖어버린 관능적인 상황을 묘사하므로 '흠뻑', '축축하게', '질척하게' 등으로 상황에 맞춰 의역해야 한다. '구쇼구쇼'와 같은 기계적 직역은 피해야 한다.",それを見た私は、身体中を快感電流が流れ、下着がグショグショに濡れた。,"그것을 본 나는, 몸속에 쾌감 전류가 흐르고 속옷이 구쇼구쇼하게 젖었다.","그것을 본 순간 온몸에 쾌감의 전류가 흘렀고, 속옷은 이미 흠뻑 젖어버렸다."
ビクビク,"파르르, 움찔움찔, 경련하듯",의성어,"근육이나 신체가 의지와 상관없이 떨리는 모양을 나타낸다. 문맥상 성적인 자극으로 인해 성기가 통제 불능 상태로 떨리는 상황이므로, '파르르 떨리다' 혹은 '움찔거리다'와 같이 신체 반응을 묘사하는 동사와 결합하여 자연스럽게 의역해야 한다. 단순히 '비쿠비쿠'라고 음차하거나 '벌벌'처럼 추운 듯한 느낌을 주는 직역은 피해야 한다.",私は友紀君の肛門にバイブを挿入(さ)し、ぐりぐり弄りまわすと、チンポはビクビク痙攣してガマン汁を垂れ流す。,자지는 비쿠비쿠 경련하며 사정액을 흘린다.,자지는 움찔거리며 경련하더니 참지 못한 애액을 줄줄 흘려댔다.
ブーンブーン,"징징, 부르르",의성어,"휴대폰이 진동하는 소리를 나타내는 의성어다. 한국어 소설 문맥에서는 '징징' 혹은 '부르르'와 같이 진동의 느낌을 살린 표현을 사용하거나, '징징 울리다', '부르르 떨리다'처럼 동사와 결합하여 자연스럽게 묘사해야 한다. '부웅부웅'과 같은 기계적 직역은 피해야 한다.",ブーンブーンとケータイが震え、着信した。,"부웅부웅 하고 휴대폰이 떨리며, 전화가 왔다.",휴대폰이 징징 울리며 전화가 걸려 왔다.
ペロペロ,"낼름낼름, 할짝할짝",의성어,"혀로 무언가를 계속해서 핥는 모양을 나타낸다. 소설의 문맥과 관능적인 분위기에 따라 '낼름낼름' 혹은 '할짝할짝' 등으로 의역하며, 상황에 따라 '낼름거리는', '할짝이는' 등 형용사적 표현으로 변주하여 자연스럽게 서술해야 한다. 단순히 '페로페로'를 음차하거나 '핥짝핥짝'처럼 단조로운 반복에 그치지 않도록 주의한다.",ペロペロアヌスを舐めながら、私はバックからアナルバイブを取り出す。,"페로페로 핥으면서, 나는 뒤에서 아날 바이브를 꺼낸다.","항문을 낼름낼름 핥으며, 나는 뒤쪽에서 아날 바이브를 꺼냈다."
ドロドロ,"걸쭉하게, 질척하게, 진득하게",의성어,"액체의 점도가 높고 농도가 짙은 상태를 나타낸다. 문맥상 정액의 질감을 묘사하고 있으므로, 단순히 상태를 설명하기보다 '걸쭉한 정액', '진득하게 쏟아지는' 등 형용사나 부사 형태로 의역하여 문장의 관능적인 분위기를 살려야 한다. '도로도로'를 그대로 음차하는 것은 피해야 한다.",ぶびゆーびゅうぶびゆーびゅう大量のドロドロ精液を、友紀君が手のひらで受け止めた。,도로도로한 대량의 정액을 유키 군이 손바닥으로 받아냈다.,"걸쭉한 정액이 대량으로 쏟아지자, 유키 군은 그것을 손바닥으로 받아냈다."
グングン,쑥쑥,의성어,"키나 몸집 등이 거침없이 빠르게 자라나는 모양을 나타낸다. 소설적 문맥에서는 '쑥쑥 자라다', '쑥쑥 늘어나다'와 같이 동사와 결합하여 성장의 속도감을 생생하게 전달하는 것이 자연스럽다. 단순히 '많이'라고 번역하기보다 성장의 역동성을 살려 '쑥쑥'으로 의역하는 것이 좋다.",そんな穂乃果のマンションに現在は大河も一緒に住んでいた。この３年間で身長はグングン伸びてついには１８０センチを突破。まだまだ成長中だ。バレーを本格的にするために高校からは王都学園ではなく別の高校を受験し、今では年代別の代表に呼ばれるまでに成長。世代を代表する選手としてそのルックスと共に注目されていた。,이 3년 동안 키는 구응구응 늘어나서 드디어 180센티를 돌파했다.,지난 3년 사이 키는 쑥쑥 자라나 마침내 180cm를 돌파했다.
コソコソ,"몰래몰래, 구석에서, 눈치 보며",의성어,"단순히 '소곤소곤'이라는 소리에 집중하기보다, 남의 눈을 피해 무언가를 숨기거나 조심스럽게 행동하는 '태도'에 초점을 맞추어 의역해야 한다. 문맥상 상대방에게 숨기지 않고 당당하게 밝히겠다는 의지가 담겨 있으므로, '몰래몰래' 혹은 '눈치 보며'와 같이 행동의 은밀함을 나타내는 표현이 자연스럽다.",「私も大河から離れないわよ。――っていうか、もう離れられないし。けど、今回のことで私も覚悟が決まったわ。帝都に帰ったら、ちゃんと浩太に伝えましょう。もうコソコソしないで♪」,이제 더 이상 코소코소 하지 않을게요♪,이제 더 이상 몰래몰래 숨기지 않을게요♪
ガッツリ,"빈틈없이, 꽉, 진득하게",의성어,"원래 '듬뿍', '제대로'라는 뜻을 가진 부사지만, 문맥상 입술이 빈틈없이 맞물린 상태를 강조하므로 '빈틈없이' 혹은 입술의 밀착감을 나타내는 '꽉'이나 '진득하게' 등으로 의역하여 문장의 관능적인 분위기를 살려야 한다. '갓츠리'라는 음차를 피하고 상황에 맞는 형용사적 표현을 사용하는 것이 핵심이다.",ガッツリと隙間なく重なる唇――口を塞がれたことで自然と呼吸するために鼻息は荒くなり、それによって間近で嗅ぐ拓海の匂いが嗅神経を通して脳へと広がる。,갓츠리 빈틈없이 겹쳐진 입술――,빈틈없이 꽉 맞물린 입술――
カピカピ,딱딱하게 굳어,의성어,"액체나 수분이 완전히 말라붙어 표면이 거칠고 딱딱해진 상태를 나타낸다. 소설적 문맥에서는 단순히 '말랐다'는 표현보다, 액체가 굳어버린 질감을 살려 '딱딱하게 굳어', '딱딱하게 말라붙어' 등으로 의역하는 것이 자연스럽다. '카피카피'라는 음차를 피하고 상태를 묘사하는 표현을 사용해야 한다.",共に一人の男性を愛するライバル関係の２人ではあるが、それを感じないほど仲睦まじく全裸で寝ている２人の股間には、揃って昨晩からぶっ続けで出し続けた精液が乾燥してカピカピになって輝いていた。,그들의 가랑이 사이에는 정액이 카피카피하게 빛나고 있었다.,그들의 가랑이 사이에는 어젯밤부터 계속 쏟아낸 정액이 딱딱하게 굳어 번들거리고 있었다.
ポツポツ,울퉁불퉁,의성어,"피부 표면에 작은 돌기나 멍울이 솟아오른 상태를 나타낸다. 문맥상 출산과 수유를 거친 신체의 변화를 묘사하고 있으므로, 단순히 '점처럼 박혀 있다'는 식의 표현보다는 유선이 발달하여 피부 위로 불규칙하게 솟아오른 모양을 나타내는 '울퉁불퉁하게' 또는 '올록볼록하게'와 같이 신체적 질감을 살린 의역이 적절하다.",一方で満里奈は妊娠、出産、授乳を経験していることもあってその身体は年季が入っており、乳首などはいかにも使い込んだ形跡を示すように乳腺がポツポツと浮いて黒ずんでいた。,유선이 포츠포츠 떠 있어서 검게 변해 있었다.,유선이 울퉁불퉁하게 솟아올라 검게 변해 있는 모습은 마치 오랫동안 사용해 온 흔적을 보여주는 듯했다.
クタクタ,"녹초가 된, 기진맥진한, 몸을 가누지 못할 정도로 지친",의성어,"단순히 '피곤하다'는 의미를 넘어, 에너지가 완전히 고갈되어 몸에 힘이 하나도 없는 상태를 나타낸다. 소설의 문맥에 따라 '녹초가 되어', '기진맥진한 채로', '몸이 천근만근인 상태로' 등 인물의 피로도를 생생하게 전달할 수 있는 표현으로 의역하는 것이 자연스럽다.",結局、ほとんど寝ていないままクタクタの状態で日曜日の深夜に帰宅した。,"결국, 거의 자지 못한 채 쿠타쿠타한 상태로 일요일 심야에 귀가했다.","결국, 거의 잠도 자지 못한 채 녹초가 된 상태로 일요일 심야에 귀가했다."
ムッツリ,"음흉한, 겉으로는 내색하지 않는",의성어,"단순히 '음란하다'는 뜻을 넘어, 겉으로는 조신하거나 평범해 보이지만 속으로는 성적인 욕구가 강한 상태를 나타낸다. 소설 문맥에서는 캐릭터의 성격이나 숨겨진 면모를 드러내는 형용사로 자연스럽게 의역해야 한다. '무츠리 스케베'는 문맥에 따라 '음흉한 성격', '겉보기와 달리 밝히는 성격' 등으로 풀어서 번역하는 것이 좋다.",身体は綺麗な穂乃果だが、その分だけ余計にクリトリスの大きさが目立つ。ムッツリスケベでクリトリスでのオナニーをしていたこともあって肥大し、少し触るだけですぐに反応して勃起を始める。,그녀는 무츠리 스케베라서 클리토리스로 자위하고 있었다.,"겉으로는 내색하지 않는 음흉한 성격 탓에 클리토리스로 자위를 해온 탓도 있어, 조금만 건드려도 금방 반응하며 발기하기 시작했다."
